# Chapters emailed log — one line per chapter sent, in the order sent.
# Format: Book|Chapter|YYYY-MM-DD|note
# Book column matches chapter_map.csv's book key (e.g. "Helaman", not "Helamán").
Alma|63|2026-07-12|seeded — everything through Alma 63 already emailed manually outside this system
Helaman|1|2026-07-12|
Helaman|2|2026-07-12|
Helaman|3|2026-07-13|
Helaman|4|2026-07-14|
Helaman|5|2026-07-14|
Helaman|6|2026-07-15|
Helaman|7|2026-07-16|
Helaman|8|2026-07-16|
Helaman|9|2026-07-17|
Helaman|10|2026-07-19|
Helaman|11|2026-07-20|
Helaman|12|2026-07-21|
Helaman|13|2026-07-21|
Helaman|14|2026-07-22|
Helaman|15|2026-07-23|
Helaman|16|2026-07-25|
3 Nephi|1|2026-07-25|
3 Nephi|2|2026-07-26|
3 Nephi|3|2026-07-28|
3 Nephi|4|2026-07-28|
3 Nephi|5|2026-07-29|
3 Nephi|6|2026-07-31|
3 Nephi|7|2026-08-01|
3 Nephi|8|2026-08-02|
